Property,Range,numAllStatements,numRVEStatements
http://dbpedia.org/ontology/oldTeamCoached,http://dbpedia.org/ontology/SportsTeam,0.0,0.0
http://dbpedia.org/ontology/northEastPlace,http://dbpedia.org/ontology/Place,0.0,0.0
http://dbpedia.org/ontology/regentOf,http://dbpedia.org/ontology/Monarch,0.0,0.0
http://dbpedia.org/ontology/originalLanguage,http://dbpedia.org/ontology/Language,454.0,36.0
http://dbpedia.org/ontology/formerBroadcastNetwork,http://dbpedia.org/ontology/BroadcastNetwork,4198.0,1844.0
http://dbpedia.org/ontology/launchSite,http://dbpedia.org/ontology/Building,548.0,435.0
http://dbpedia.org/ontology/closingFilm,http://dbpedia.org/ontology/Film,132.0,12.0
http://dbpedia.org/ontology/publisher,http://dbpedia.org/ontology/Agent,64929.0,19021.0
http://dbpedia.org/ontology/head,http://dbpedia.org/ontology/Person,1046.0,663.0
http://dbpedia.org/ontology/riverBranch,http://dbpedia.org/ontology/River,31.0,31.0
http://dbpedia.org/ontology/sisterNewspaper,http://dbpedia.org/ontology/Newspaper,918.0,157.0
http://dbpedia.org/ontology/arrondissement,http://dbpedia.org/ontology/PopulatedPlace,9435.0,6000.0
http://dbpedia.org/ontology/politicalMajority,http://dbpedia.org/ontology/PoliticalParty,0.0,0.0
http://dbpedia.org/ontology/wholeArea,http://dbpedia.org/ontology/Area,0.0,0.0
http://dbpedia.org/ontology/subprefecture,http://dbpedia.org/ontology/PopulatedPlace,0.0,0.0
http://dbpedia.org/ontology/raceTrack,http://dbpedia.org/ontology/RaceTrack,0.0,0.0
http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/City,5162.0,2698.0
http://dbpedia.org/ontology/alpsSubgroup,http://dbpedia.org/ontology/MountainRange,0.0,0.0
http://dbpedia.org/ontology/person,http://dbpedia.org/ontology/Person,5032.0,1977.0
http://dbpedia.org/ontology/part,http://dbpedia.org/ontology/Place,16892.0,3487.0
http://dbpedia.org/ontology/laurenceOlivierAward,http://dbpedia.org/ontology/Award,0.0,0.0
http://dbpedia.org/ontology/manufacturer,http://dbpedia.org/ontology/Organisation,35962.0,11894.0
http://dbpedia.org/ontology/county,http://dbpedia.org/ontology/PopulatedPlace,9337.0,601.0
http://dbpedia.org/ontology/saint,http://dbpedia.org/ontology/Saint,2013.0,1193.0
http://dbpedia.org/ontology/draftTeam,http://dbpedia.org/ontology/SportsTeam,10294.0,881.0
http://dbpedia.org/ontology/capitalPlace,http://dbpedia.org/ontology/PopulatedPlace,1.0,0.0
http://dbpedia.org/ontology/firstDriverCountry,http://dbpedia.org/ontology/Country,98.0,10.0
http://dbpedia.org/ontology/fastestDriverTeam,http://dbpedia.org/ontology/SportsTeam,1313.0,410.0
http://dbpedia.org/ontology/alpsSubsection,http://dbpedia.org/ontology/MountainRange,0.0,0.0
http://dbpedia.org/ontology/competition,http://dbpedia.org/ontology/Event,0.0,0.0
http://dbpedia.org/ontology/sportCountry,http://dbpedia.org/ontology/Country,187.0,31.0
http://dbpedia.org/ontology/lyrics,http://dbpedia.org/ontology/Person,1983.0,289.0
http://dbpedia.org/ontology/district,http://dbpedia.org/ontology/PopulatedPlace,47332.0,16249.0
http://dbpedia.org/ontology/presentMunicipality,http://dbpedia.org/ontology/Municipality,0.0,0.0
http://dbpedia.org/ontology/rightTributary,http://dbpedia.org/ontology/River,3982.0,821.0
http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/PoliticalParty,3975.0,670.0
http://dbpedia.org/ontology/thirdTeam,http://dbpedia.org/ontology/SportsTeam,1322.0,386.0
http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/Person,24026.0,3014.0
http://dbpedia.org/ontology/placeOfBurial,http://dbpedia.org/ontology/Place,1402.0,467.0
http://dbpedia.org/ontology/animal,http://dbpedia.org/ontology/Animal,279.0,156.0
http://dbpedia.org/ontology/coProducer,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/crew,http://dbpedia.org/ontology/SpaceMission,0.0,0.0
http://dbpedia.org/ontology/automobilePlatform,http://dbpedia.org/ontology/Automobile,1796.0,1128.0
http://dbpedia.org/ontology/startPoint,http://dbpedia.org/ontology/Place,221.0,33.0
http://dbpedia.org/ontology/previousEditor,http://dbpedia.org/ontology/Person,305.0,88.0
http://dbpedia.org/ontology/sourceMountain,http://dbpedia.org/ontology/Mountain,6147.0,5869.0
